,text,label
24,не работать сервис google о это честно написать на коробка но и внутренний магазин приложение не скачивать ни один нужный в один же пять минута использование жутко греться аккумулятор и устройство тормозить,0
25,из недостаток звук какой то тресковатый кнопка очень маленькая сенсор не всегда срабатывать то слишком чувствительный при листание экран то наоборот очень объёмный ребёнок не подойти трудно подобрать чехол задний крышка тяжело открываться нужно открывать чем то плоский по весь длина даба не сломать крышка а она очень очень тонкий качество камера не понравиться в комплект идти защитный стекло но оно оказаться битый перед покупка тщательно проверять телефон и весь прилагаться постоянный звук щёлканий по клавиатура непонятно как убрать фонарик слабый гарнитур нет производство китай если быть беда с сенсор сдать обратно в целое телефон неплохой но некоторый функция недоработать,0
27,1 сочный экран хороший угол обзор 2 неплохой звук динамик довольно громкий качество музыка неплохой звук не худой чем в мой ipod touch 4 g хотя это плеер если задуматься на секундочка 3 неплохой железо лаг нету работать шустро 4гб озу хватить за глаз ещё на 2 3 год вперёд для тот кто любить синтетик 88 95к antutu 4 ну и что я действительно порадовать это батарея жить долго почти весь день сидеть в инуть вк хром twitch играть 2 2 5 час в игра давольный не хилый хватить с 8 утро до 8 вечер 50 100 яркость в зависимость от тот где находиться в помещение или на улица 5 камера на высота 5 5 6 по очень удобный без лаг ну оно и понятно скатать с ios но я как бы это на рука так как быть обладатель apple хоть и политика компания не понравиться топ по7 2 симка пользоваться только один хорошо что два гибридный за такой цена топ трубка не пожалеть по крайний мера пока,1
28,плохо ловить сеть очень тихий динамик громкий связь очень скользкий корпус подвисать при входящий звонок заряд батарея на 12 часы пользоваться 1 неделя друг и коллега по работа стать жаловаться что до я не дозвониться действительно аппарат постоянно скакать между 3 g и 2 g при это терять сеть вообще очень низкий приём сеть на улица индикация не выше 2 х палка на индикатор виснуть при входящий звонок звонок идти а экран чёрный то есть не ответить сразу ужасный звук плеер и радио fm в комплектный да и в дорогой наушник hi fi очень тихий динамик гр связь звонок и смс часто пропускаться том к они просто не услышать да лёгкий дизайн не плохой экран хороший на на 2 касание камера приемлемый но функция телефон с хорошеть связь не выполнять возвратить обратно через неделя,0
36,ровно через месяц погаснуть экран отвезти в сервис по гарантия заменить экран но отключить фонарик вспышка тоже не работать оторвать наклейка ip68 с нижний часть корпус а чтобы в глаз не броситься заклеить ленточка синенький,0
40,нет оптический стабилизация фоткаета плохо фотка размытый когда покупать думать что хороший чем 2016 год добавить память оперативный память тип водонепроницаемый тип камера 16 а не 13 мегапиксель весь хорошо но весь сводиться на нет без оптический стабилизация фотка ужасный некоторый китаец хороший фоткаета превратить он в обычный звонилка с хороший экран хороший взять 16год переплатить нет смысл,0
41,бюджетный хороший телефон весь отлично,1
47,через половина год эксплуатация внутри корпус послышаться шелест будто что то есть разобрать 3 из 4 винт крепление мат плата выкрутиться из гайка слово не затянутый быть 1 гайка оказаться с сорвать резьба стекло камера в задний крышка быть чем то заляпать герметик или клеить что давать размытый картинка отверстие для датчик освещение основной камера покрыть тонкий бела плёнка герметик что влиять на световосприятие основной камера тёмный видео фото после некоторый манипуляция проблема исправить стать плохо откликаться кнопка питание возможно программный микрофон глохнуть при звонок вплоть до полный потеря слышимость оппонент возможно программный быть перепрошивать очень удивлённый и разочаровать качество сборка телефон сам аппарат приятный,0
49,главный преимущество акб купить этот highscreen понять что именно такой ёмкость как минимум должный обладать акб который оснащать современный смартфон при активный использование аппарат жить два день экран передавать чёткий качественный изображение в комплект иметься защитный стекло обратить внимание на данный марка услышать песня красный плесень в целое смартфон хороший он быстродействие я довольный указанный недостаток для я лично некритичный,1
56,специально в предверие отпуск купить себя этот телефон чтобы наделать куча селфи и снимок и пользоваться имя всего ничто буквально два день но впечатление уже сложиться фронтальный камера это нечто двойной основной модуль фотография делать отличный резкий с равномерный освещённость и просто видео в 4 к устройство снимать спокойно работать очень плавно не греться заметно даже при съёмка видео в 4 к подтормаживание интерфейс заметить не быть да и просто zen ui 4 0 понравиться далеко ещё не весь фишка протестить но впечатлять сильно особенно плавность работа,1
57,я в восторг от смартфон до это быть смартфон с приблизить функция работать шустро без зависание экран чувствительный как надо цвет яркий насышенный фотография чёткий на основной и фронтальный камера в рука чуточку большеватый для женский рука и самый большой плюс это батарея работать в течение 2 сутки с максимальный использование в игрушка не играть прокоментировать не мочь друг покупать телефон и радоваться ведь общение с друг и близкие должный приносить удовольствие ☺,1
59,нет датчик приближение аккумуляторкамера для ребёнок нормальный,0
61,очень красивый телефон покупать муж на новый год подарок довольный к сожаление из за неаккуратность уронить он и пошлый трещина по стекло экран нужно сразу клеить плёнка стекло изображение на экран в порядок после трещина в томск стекло не менять в целое телефон отличный за свой деньга быть купить за 7000 рубль,1
63,отличный телефон для младший школьник красивый приятный на ощупь neko atsume 2 gis не тормозить сенсор отзывчивый мой ребёнок батарея хватать на 2 день моб инуть не использовать только иногда вай фай дом видео на ютуба я смотреть через браузер не тормозить я бы и себя такой взять но сбербанк не работать на немой рекомендовать для покупка ребёнок хорошо держать сигнал сотовый сеть отличный динамика,1
65,брак на брак один не видеть симка два с очень тихий микрофон брак один партия пофиксиль в прошив периодически сбрасываться в дефолт с критический ошибка 4 ядро там не пахнуть заряжаться на 90 и весь калибровка батарея не помогать,0
70,плохо ловить сеть очень тихий динамик громкий связь очень скользкий корпус подвисать при входящий звонок заряд батарея на 12 часы пользоваться 1 неделя друг и коллега по работа стать жаловаться что до я не дозвониться действительно аппарат постоянно скакать между 3 g и 2 g при это терять сеть вообще очень низкий приём сеть на улица индикация не выше 2 х палка на индикатор виснуть при входящий звонок звонок идти а экран чёрный то есть не ответить сразу ужасный звук плеер и радио fm в комплектный да и в дорогой наушник hi fi очень тихий динамик гр связь звонок и смс часто пропускаться том к они просто не услышать да лёгкий дизайн не плохой экран хороший на на 2 касание камера приемлемый но функция телефон с хорошеть связь не выполнять возвратить обратно через неделя,0
71,аккумулятор слабый и сильно греться телефон даже если просто по он лазить не включая игра и инуть задумываться как телефон для звонок и ватс ап иногда покупать папа пенсионер на ночь зарядить на 100 время 11 утро папа ещё никуда не звонить а в тело 43 уже да ещё и весь горячий телефон понести он назад такой,0
72,память 16 гб вполне хватать на установка куча приложение камера что фронтальный что задний автофокус фронтальный вспышка ну просто чудо снимать отлично батарея при активный использование хватать на 2 день без интернет на 4 день цена качество аппарат полностью оправдывать свой деньга супер амолёд экран гладкий весь просто на ура очень довольный по сравнение с леново а1000 просто небо и земля,1
77,отличный батарея долго держать заряд защищенность надёжность быстрый зарядка громкий звонок принимать сигнал даже в погреб из бетонный плита на глубина 3 метр отличный телефон за свой деньга браться в семь с маленькая ребёнок поэтому уже летать с диван о ламинат плавать в унитаз и даже закапываться в горшок с цвета наполовину хоть бы хны хорошо держать заряд даже в режим просмотр мультик в ютуба заряжать раз в 4 5 день сигнал ловить реально везде,1
79,очень красивый внешний вид тонкий рамочка на экран окантовка под золото снизу смартфон отг широкоугольный фронтальный камера весь же купить что сразу понравиться это ооочень стильный дизайн скругление по бок выглядеть необычно и красиво ну и держать он в рука тоже очень удобно быть непривычно то что он тонкий по сравнение с мой предыдущий смартфон до это быть смартфон sony xperia m2 экран сначала показаться что большеватый но быстро привыкнуть учитывать то что я часто пользоваться интернет на смартфон оказаться что на такой это делать гораздо комфортный он не тяжёлый и не смотреть на большой экран не выглядеть лопата читать в другой комент что с помощь телефон можно подзаряжать и другой телефон с помощь кабель отг и флешек можно подключить купить переходник реально весь работать а большой всего понравиться камера фронтальный она широкоугольный много что «влазит» в кадр,1
81,1 отсутствие гарантия 2 хрупкий стекло 3 маркий здравствовать купить этот телефон 14 04 17г в днс поначалу работать он неплохо хорошо фотографировать долго держать заряд работать быстро в общий весь довольный весь он достоинство и недостаток вы мочь посмотреть у более именитый блогер на ютуба я хотеть вы рассказать не о это так вот в один прекрасный момент это чудо инженерный мысль перестать заряжаться через 1 5 месяц эксплуатация естественно обратиться в официальный гарантийный сервис samsung в сервис после осмотр в гарантийный ремонт я отказать в общий они найти след коррозия в разъём телефон оказываться нельзя мочить ip68 нельзя мочить хотя я вы честно сказать данный аппарат никогда не подвергаться воздействие вода откуда взяться коррозия в разъём я не знать рискнуть предположить что это тест на водонепроницаемость который быть произвести на завод телефон толком не высушить и упаковать ну и плюс качество самый разъём в итог после тот как samsung культурно послать наплевать на свой гарантийный обязательство я сходить в мастерский по ремонт цифровой техника где за 50 рубль окисел я почистить разъесть пока весь работать зарядка пошлый что тяжело это быть сделать в официальный гарантийный сервис samsung думать нет просто имя плевать на свой клент ребята 100 раз подумать отдавать такой деньга тем более в кредит за телефон без гарантия ip68 и красивый дизайн s7 и s8 это лишь маркетинг желание содрать с вы большой денюшка,0
82,шустрый процессор для свой ценовый категория новый андроид 6 давать возможность расширить основный память за счёт карта память и приложение влезть куча сочный дисплей комплектация бонус простенький наушник заводский плёнка на экран наклеить выбирать бюджетный смартфон выбор пасть на фирма bright & quick качество сборка оценить в магазин dns как только подержать в рука понять этот смарт то что я искать экран очень хороший по цветопередача и угол обзор на солнце конечно слепнуть но можно наклеить олеофобный стекло в dns есть в наличие плюс большой чем минус всего за 5490 рубль это отличный выбор не сомневаться попробовать,1
84,7андроид отг съёмный крышка аккумулятор на 2800мач телефон за свой стоимость вполне функциональный хороший качество сборка сразу идти на 7ом андроид можно разделить экран на 2частить и сидеть одновременно в приложение телефон быстро заряжаться есть кабель отг –можный флешек подключить клавиатура зарядить другой аппарат порадовать что крышка и аккумулятор съёмный,1
89,новый корейский флагман несмотря на размер 5 7 дюйм использовать один рука довольно удобно и это благодаря он формат экран 18 9 два камера сзади по 13 мп и один фронтальный на 5 мп выдавать очень хороший снимка при любой освещение ну кроме что совсем в темнота хотя довольно яркий вспышка есть даже для фронталка телефон себя взять месяц назад и мочь сильно обрадовать любитель звук в дать модель благодаря встроить аудио процессор музыка звучать по высокий класс только за это уже можно брать этот смартфон потому что хороший звучание в девайс такой род я ещё не слышать так же телефон защитить от влага и пыль есть защита от удар и падение сзади стоить стекло горилаглазый 5 как любитель танк и файтинг морталый комбат этот игра смартфон тянуть без проблема нет ни фризовый ни тормоз,1
91,попасться с брак тачскрин сам себя нажимать так сказать быть постоянный фантомный нажатие обменять через два день после покупка на другой модель жаль что такой же исправный не быть в наличие покупать 18 08 16,0
93,тихий звук я конечно понимать что этот бюджетник как пробник хороший телефон но можно быть оперативка сделать 2гб а не полтора хотя я в игра не играть и я хватать и это и такой тихий звук из динамик это преступление,0
96,экран звук камера очень компактный хотя экран 5 7 хороший телефон на 2017 год тут и камера шикарный и звук хороший на рынок смартфон galaxy s8 это тот же s7 только с новый экран а вот lg 6 это не копия какой то смартфон и не переделать старый смартфон а новый флагман у lg g6 даже камера один такой на рынок смартфон у весь весь стандартно в то время как у g6 широкоугольный камера и задний и передний задний камера два один как у весь а два широкоугольный и это хороший камера какой только мочь быть в смартфон брать не пожалеть,1
97,экран камера связь всего есть аккумулятор телефон удобный в использование на он ничто не нужно качать или искать в немой весь что надо есть экран меню и прочее можно настроить под свой усмотрение нижний сенсорный кнопка так же по качество камера снимка чёткий с отличный передача цвет очень легко и быстро делаться резкость фокус весь сам быстро наводиться есть режим коллаж не нужно скачивать отдельно программа для создание прикольный фото это уже есть в самый камера фронтальный камера широкоугольный весь захватывать качество я очень нравиться на немой есть nfc gps поддерживать также otg связь всегда есть отлично работать с два сим карта без сбой долго держать заряд на мой прежний айфон держать маленький день от сила а этот живчик держать 1 5 сутки в игра показать себя очень хорошо при включить интернет и высокий графика отлично работать без сбой и зависание работать с такой телефон один удовольствие он легко выполнять твой команда нажиматься весь что нужно не греться не тормозить песня я очень понравиться качество звук как при разговор так и при прослушивание музыка чистый звук без посторонний звук и хрип я счастливый,1
98,1 оба камера невероятно ужасный 2 очень мало держать заряд 3 usb провод очень короткий и хлипкий 4 сам телефон очень хлипкий и быстро ломаться телефон не прожить даже год сразу же после покупка экран начать время от время мигать через месяц после покупка стать плохо работать кнопка переключение звук через половина год после покупка стать заедать кнопка включение экран потом этот кнопка стать невозможно нажимать так как надо быть давить долго и сильно,0
102,сколько себя помнить пользоваться виндовсфон и никогда не хотеть себя android но как то мой смарт сломаться и друг дать попользоваться свой старое lg optimus пока я не купить себя новый решить и себя взять android попробовать в приципа в люба момент мочь продать если не понравиться телефон очень понравиться удобно лежать в рука несмотря на ёмкий батарея он довольно тонкий и лёгкий дизайн немного простоватый но я это даже нравиться в чёрный цвета смотреться стильно хотя в бел думать что быть ещё хороший в общий это отличный аппарат на каждый день рекомендовать,1
104,не тупить компактный цена,1
105,слабый аккумулятор постоянно терять спутник в режим навигация камера посредственный тусклый экран с плохой отображение тёмный цветок слабенький камера экран тусклый рассматривать тёмный изображение неудобно батарея просто ужасный при включить 4 g едва хватать на день при условие что звонить совсем не много если вдруг оставить включить wi fi или gps то до вечер аккума не дотянуть в режим навигация постоянно терять спутник,0
108,быстрый не тупить заряд батарея полчаса максимум камера шикарный интернет просто летать пользоваться стандартный браузер и очень много другой полезный и интересный приложение весь один слово это отличный смартфон,1
112,когда в телефон один симка связь хорошие ставить два и тут весь начинаться связь ужасный я не слышать то просто не доступный то при разговор просто сам сбросить званка поменять три телефон и везде один и тоже делать вывод сам,0
116,1 долго держать заряд батарея при постоянный использование телефон игра соц сеть хватать на два день при умеренный использование я думать хватить и на 4 день и на 5 день 2 фронтальный камера хороший качество съёмка фронтальный камера я ещё не видеть 3 вспышка на фронтальный камера очень удобно вообще аппарат я очень нравиться для каждый важный свой преимущество для я важный вышеперечисленный а так шустрый быстрый не виснуть не тупить цвет яркий не слишком громкий отпечаток палец работать есть возможность создавать папка открывать с помощь отпечаток палец есть функция самоочищение от мусор куча специальный возможность и всего прочее кома как а для я не скользкий экран не царапаться задний панель тоже хотя многие писать что весь царапаться не знать не особо он берег но ещё ни один царапина,1
118,очень хороший камера звук дисплей дизайн безумно классный телефон пока не подводить надеяться на это и в дальнейший,1
119,плохо ловить сеть очень тихий динамик громкий связь очень скользкий корпус подвисать при входящий звонок заряд батарея на 12 часы пользоваться 1 неделя друг и коллега по работа стать жаловаться что до я не дозвониться действительно аппарат постоянно скакать между 3 g и 2 g при это терять сеть вообще очень низкий приём сеть на улица индикация не выше 2 х палка на индикатор виснуть при входящий звонок звонок идти а экран чёрный то есть не ответить сразу ужасный звук плеер и радио fm в комплектный да и в дорогой наушник hi fi очень тихий динамик гр связь звонок и смс часто пропускаться том к они просто не услышать да лёгкий дизайн не плохой экран хороший на на 2 касание камера приемлемый но функция телефон с хорошеть связь не выполнять возвратить обратно через неделя,0
123,очень скудный меню нет чёрный список не подробный описание память короче после асуса зенфон 2 полный труп эффект в камера мало грубо говорить один панорама и то на 180 гр батарея очень слабый если имя пользоваться просто в контакт полазить часик с 100 остаться 50 притом что телефон всего 1 неделя короче этот деньга не стоить,0
124,они несосчитать,0
126,задний панель стекло думать аллюминий быть бы практичный скосить грань экран из за это защитный стекло узкий и уродский на s 6 быть нормальный но нет же редко разбиваться подумать в самсунг купить этот телефон шестёрка отдать супруга и месяц не мочь нарадоваться качество изображение супер летать просто мгновенно внешний вид неоспоримо для я хороший на сегодня обязательно нужный чехол селиконовый и стекло на экран потому что падать полюбома хоть разок но обязательно батарея как по я хорошо держать на день хватать при использование по работа и интернет серфинг но через месяц работа стать греться тупить и тормозить а потом сдохнуть в итог месяц в сервис замена системный плата и мой сомнение а что же случиться с телефон за 50 рубль всего за один месяц крайне разачаровать самсунг и сервис он хотя повториться сам гаджет не оставить равнодушный никто,0
127,1 хороший бюджетный камера отлично снимать текст2 не особо играть в игра но мочь сказать телефон в план производительность хороший легко воспроизводить видео в 720p не нагреваться 3 хороший дисплей пиксель видно только если хорошо присмотреться4 android 65 наушник в комплект удобный 6 экран не сильно царапаться 5 приятно смотреть ролик на you tube ставить 5 несмотря на недостаток кто то говорить что связь плохой нет весь в порядок входящая звонок не громкий но на улица в карман слышный push уведомление приходить если открытый фоновый процесс приложение батарея вполне хороший большой часть заряд кушать дисплей,1
